,종목코드,회사명,결산월,결산년도,유동비율,당좌비율,부채비율,자기자본비율,차입금의존도,현금비율,순운전자본비율,자기자본이익률,총자산이익률,매출총이익률,영업이익률,매출액성장률,자산성장률,자기자본성장률,매출총이익성장률,총자산회전율,매출채권회전율,재고자산회전율,순운전자본회전율,총부채상환능력비율,label
0,[060310],3S,3,2015,69.46,61.73,43.3,56.7,76.36,32.4,-9.87,-3.45,-2.02,inf,-inf,,-5.61,-11.74,-34.97,0.0,0.0,0.0,-0.0,1.02,0
1,[095570],AJ네트웍스,12,2015,41.21,37.25,57.2,0.0,inf,16.36,-21.38,inf,0.87,,inf,,26.45,,,0.0,,0.0,-0.0,-10.57,0
2,[006840],AK홀딩스,12,2015,7.44,7.44,10.36,89.64,11.55,3.33,-9.42,1.19,1.08,,inf,,6.4,3.8,,0.0,,,-0.0,18.96,0
3,[054620],AP시스템,12,2015,104.1,76.63,59.1,40.9,144.51,3.59,2.1,2.29,0.99,inf,inf,,23.66,9.57,47.87,0.0,0.0,0.0,0.0,-20.9,0
4,[211270],AP위성통신,12,2015,809.29,745.58,10.76,89.24,12.05,424.75,70.17,6.63,5.61,48.38,24.67,5.49,15.53,30.17,19.01,23.21,inf,310.84,91.5,101.53,1
5,[027410],BGF리테일,12,2015,134.06,125.91,51.21,48.79,104.96,3.11,13.67,0.0,0.0,20.28,4.11,28.9,23.35,29.25,11.81,80.52,inf,1941.99,1592.22,48.5,0
6,[001040],CJ,12,2015,90.97,90.97,9.54,90.46,10.55,25.21,-0.52,0.42,0.37,,,,-0.91,0.81,,0.0,,,0.0,23.61,0
7,[079160],CJ CGV,12,2015,67.05,65.71,57.09,42.91,133.05,26.78,-7.63,2.9,1.22,51.84,7.98,3.73,5.73,10.38,5.53,18.95,inf,6299.0,-517.47,18.71,0
8,[000120],CJ대한통운,12,2015,93.9,93.06,38.96,61.04,63.82,3.52,-1.6,-0.14,-0.08,,,,0.65,1.25,,0.0,,0.0,0.0,14.36,0
9,[011150],CJ씨푸드,12,2015,52.81,14.54,46.57,53.43,87.15,3.43,-18.93,1.31,0.66,20.32,3.49,3.44,-7.5,5.68,-1.05,41.51,inf,221.67,-926.66,71.57,0
10,[097950],CJ제일제당,12,2015,68.59,41.26,52.54,47.46,110.69,4.29,-8.51,1.32,0.63,inf,inf,,4.42,3.99,9.22,0.0,,0.0,-0.0,11.28,0
11,[051500],CJ프레시웨이,12,2015,92.79,64.03,71.1,28.9,245.98,0.44,-4.3,1.89,0.56,15.0,2.38,-7.75,13.33,7.31,18.7,57.59,inf,386.84,-2684.64,-4.44,0
12,[058820],CMG제약,12,2015,297.75,236.06,17.17,82.83,20.74,29.02,30.9,-1.9,-1.59,inf,-inf,,-2.64,-4.47,16.24,0.0,0.0,0.0,0.0,24.81,0
13,[023460],CNH,12,2015,113.17,113.17,29.0,71.0,40.84,8.64,3.53,-0.01,-0.0,,inf,,3.58,-1.87,,0.0,,,0.0,-0.07,0
14,[065770],CS,12,2015,42.9,23.52,79.09,20.91,378.34,0.12,-40.37,-12.76,-2.96,2.48,-16.42,-40.25,-28.15,-39.43,-91.17,17.75,inf,138.2,-134.37,-13.7,0
15,[083660],CSA 코스믹,12,2015,181.41,173.5,47.45,52.55,90.31,143.58,38.63,0.54,0.28,22.81,2.47,7.43,191.95,191.37,41.58,16.67,78.84,277.21,106.6,10.24,0
16,[000590],CS홀딩스,12,2015,1220.74,1220.74,5.98,94.02,6.36,330.19,19.63,1.63,1.54,,inf,,1.96,1.82,,0.0,,,0.0,9.01,0
17,[068790],DMS,12,2015,99.99,98.49,59.15,40.85,144.8,1.61,-0.01,5.82,2.19,,,,17.53,41.58,,0.0,,0.0,-0.0,0.0,0
18,[004840],DRB동일,12,2015,121.72,109.96,26.0,74.0,35.14,37.47,4.67,0.0,0.0,inf,inf,,1.37,4.92,14.86,0.0,,0.0,0.0,34.11,0
19,[155660],DSR,12,2015,261.72,186.7,26.22,73.78,35.53,10.54,35.88,2.11,1.52,,,,2.69,8.31,,0.0,,0.0,0.0,53.71,0
20,[069730],DSR제강,12,2015,127.27,77.33,35.93,64.07,56.08,4.63,8.33,2.17,1.28,14.38,5.53,-9.49,-8.82,8.53,-3.4,23.64,inf,148.52,1073.2,50.34,0
21,[017940],E1,12,2015,140.22,127.12,54.4,45.6,119.28,20.08,9.77,0.0,0.0,inf,inf,,-3.09,5.94,9.89,0.0,,0.0,0.0,13.43,0
22,[037370],EG,12,2015,135.67,82.93,30.14,69.86,43.15,37.37,10.1,1.04,0.77,13.7,3.85,12.08,17.83,3.66,-2.93,25.72,inf,172.35,631.96,19.14,0
23,[007700],F&F,12,2015,150.36,49.62,40.85,59.15,69.06,0.07,16.71,1.54,0.9,inf,inf,,3.17,5.06,17.1,0.0,0.0,0.0,0.0,11.7,0
24,[114090],GKL,12,2015,292.62,291.53,29.87,70.13,42.58,115.4,49.99,5.17,3.52,inf,inf,,-0.08,5.76,-14.88,0.0,0.0,0.0,0.0,0.0,0
25,[078930],GS,12,2015,7.46,7.46,18.63,81.37,22.9,6.96,-3.51,0.5,0.41,,,,-0.68,-0.36,,0.0,,,-0.0,10.14,0
26,[083450],GST,12,2015,309.95,226.39,18.27,81.73,22.35,136.53,34.25,2.05,1.58,31.55,4.6,-6.85,-4.02,8.86,6.49,32.28,inf,199.56,249.57,46.85,0
27,[006360],GS건설,12,2015,135.27,126.17,71.57,0.0,inf,34.78,18.5,-inf,-0.07,,,,2.79,,,0.0,,0.0,0.0,1.68,0
28,[078150],HB테크놀러지,12,2015,270.89,219.09,23.65,76.35,30.97,63.87,21.54,2.07,1.47,inf,inf,,-5.54,9.18,45.21,0.0,,0.0,0.0,62.94,0
