종목코드,회사명,결산월,결산년도,유동비율,당좌비율,부채비율,자기자본비율,차입금의존도,현금비율,순운전자본비율,자기자본이익률,총자산이익률,자산성장률,자기자본성장률,매출총이익성장률,총자산회전율,재고자산회전율,순운전자본회전율,총부채상환능력비율,label
[054620],DRB동일,12,2015,104.1,76.63,59.1,40.9,144.51,3.59,2.1,2.29,0.99,23.66,9.57,47.87,0.0,0.0,0.0,-20.9,0
[211270],DRB동일,12,2015,809.29,745.58,10.76,89.24,12.05,424.75,70.17,6.63,5.61,15.53,30.17,19.01,23.21,310.84,91.5,101.53,1
[027410],DRB동일,12,2015,134.06,125.91,51.21,48.79,104.96,3.11,13.67,0.0,0.0,23.35,29.25,11.81,53.8,1941.99,1592.22,48.5,0
[079160],DRB동일,12,2015,67.05,65.71,57.09,42.91,133.05,26.78,-7.63,2.9,1.22,5.73,10.38,5.53,18.95,6299.0,-517.47,18.71,0
[011150],DRB동일,12,2015,52.81,18.97,46.57,53.43,87.15,3.43,-18.93,1.31,0.66,-7.5,5.68,-1.05,41.51,221.67,-926.66,71.57,0
[097950],DRB동일,12,2015,68.59,41.26,52.54,47.46,110.69,4.29,-8.51,1.32,0.63,4.42,3.99,9.22,0.0,0.0,-0.0,11.28,0
[051500],DRB동일,12,2015,92.79,64.03,71.1,28.9,245.98,0.44,-4.3,1.89,0.56,13.33,7.31,18.7,53.8,386.84,-2684.64,-4.44,0
[058820],DRB동일,12,2015,297.75,236.06,17.17,82.83,20.74,29.02,30.9,-1.9,-1.59,-2.64,-4.47,16.24,0.0,0.0,0.0,24.81,0
[065770],DRB동일,12,2015,42.9,23.52,79.09,20.91,378.34,0.14,-40.11,-12.76,-2.96,-28.15,-39.43,-91.17,17.75,138.2,-134.37,-13.7,0
[083660],DRB동일,12,2015,181.41,173.5,47.45,52.55,90.31,143.58,38.63,0.54,0.28,156.2,191.37,41.58,16.67,277.21,106.6,10.24,0
[004840],DRB동일,12,2015,121.72,109.96,26.0,74.0,35.14,37.47,4.67,0.0,0.0,1.37,4.92,14.86,0.0,0.0,0.0,34.11,0
[069730],DSR제강,12,2015,127.27,77.33,35.93,64.07,56.08,4.63,8.33,2.17,1.28,-8.82,8.53,-3.4,23.64,148.52,1073.2,50.34,0
[017940],E1,12,2015,140.22,127.12,54.4,45.6,119.28,20.08,9.77,0.0,0.0,-3.09,5.94,9.89,0.0,0.0,0.0,13.43,0
[037370],EG,12,2015,135.67,82.93,30.14,69.86,43.15,37.37,10.1,1.04,0.77,17.83,3.66,-2.93,25.72,172.35,631.96,19.14,0
[007700],F&F,12,2015,150.36,49.62,40.85,59.15,69.06,0.14,16.71,1.54,0.9,3.17,5.06,17.1,0.0,0.0,0.0,11.7,0
[114090],GKL,12,2015,292.62,291.53,29.87,70.13,42.58,115.4,49.99,5.17,3.52,-0.08,5.76,-14.88,0.0,0.0,0.0,0.0,0
[083450],GST,12,2015,309.95,226.39,18.27,81.73,22.35,136.53,34.25,2.05,1.58,-4.02,8.86,6.49,32.28,199.56,249.57,46.85,0
[078150],HB테크놀러지,12,2015,270.89,219.09,23.65,76.35,30.97,63.87,21.54,2.07,1.47,-5.54,9.18,45.21,0.0,0.0,0.0,62.94,0
[036640],HRS,12,2015,255.68,162.98,17.98,82.02,21.91,73.05,23.81,0.0,0.0,3.62,5.47,-2.15,16.28,110.23,160.68,41.0,0
[095340],ISC,12,2015,541.61,481.24,7.79,92.21,8.45,278.94,29.58,2.46,2.17,17.67,30.55,-0.86,12.52,323.31,111.82,108.64,0
[099520],ITX시큐리티,12,2015,231.86,167.97,49.18,50.82,96.79,13.31,27.75,-13.86,-8.41,-16.04,-38.14,-84.09,19.47,95.88,173.08,-12.06,1
[067290],JW중외신약,12,2015,103.7,90.83,46.6,53.4,87.25,0.22,1.6,2.08,1.12,5.29,4.39,8.71,15.77,262.6,3258.47,8.41,1
[001060],JW중외제약,12,2015,143.99,112.38,63.49,36.51,173.92,2.88,18.77,0.17,0.06,4.04,2.24,6.18,18.12,141.22,240.49,-0.99,0
[035900],JYP Ent.,12,2015,178.62,177.36,20.26,79.74,25.4,66.74,15.86,1.51,1.18,0.42,5.16,-10.31,17.24,4351.07,296.44,35.81,0
[021320],KCC건설,12,2015,154.73,125.57,64.3,35.7,180.14,35.18,22.29,-6.23,-2.17,-25.82,-22.59,-51.44,24.65,203.01,379.63,5.41,0
[036670],KCI,12,2015,226.26,139.96,20.58,79.42,25.91,66.88,25.27,3.23,2.44,-1.04,9.49,22.7,0.0,0.0,0.0,85.16,0
[119650],KC코트렐,12,2015,116.49,111.4,61.76,38.24,161.48,5.67,7.65,-2.74,-0.99,-16.54,-7.5,-34.69,29.68,1025.31,793.1,-1.09,0
[092220],KEC,12,2015,127.52,90.69,55.8,44.2,126.26,2.98,10.42,-0.07,-0.03,-0.08,-0.77,-21.56,0.0,0.0,0.0,-0.88,0
[151860],KG ETS,12,2015,84.28,62.3,29.27,70.73,41.38,5.5,-3.01,3.94,2.79,14.22,14.27,-32.77,0.0,0.0,-0.0,19.16,0
[035600],KG이니시스,12,2015,134.29,133.1,44.79,55.21,81.14,13.73,9.91,0.0,0.0,1.05,13.15,9.34,26.53,7079.96,813.93,-53.2,0
[001390],KG케미칼,12,2015,88.8,51.38,39.78,60.22,66.06,9.17,-4.08,1.2,0.7,0.15,7.79,14.69,15.43,118.86,-1346.0,12.78,0
[060720],KH바텍,12,2015,331.49,292.41,12.54,87.46,14.34,174.58,28.12,1.9,1.46,-17.22,6.14,-29.65,0.0,0.0,0.0,17.11,0
[058400],KNN,12,2015,376.82,376.51,7.6,92.4,8.23,64.48,16.45,1.04,0.96,3.21,2.04,3.67,0.0,0.0,0.0,74.1,0
[000660],KR모터스,12,2015,111.82,79.19,56.87,43.13,131.83,14.63,5.63,-7.1,-2.74,15.43,49.03,102.88,13.73,97.16,965.33,-21.7,0
[044450],KSS해운,12,2015,38.83,35.14,61.13,38.87,157.24,7.41,-9.75,2.92,1.11,10.25,15.07,24.52,6.89,998.21,-186.79,16.18,0
[093050],LF,12,2015,560.49,353.29,24.11,75.89,31.77,103.12,52.05,1.37,1.02,1.37,3.98,-0.67,26.19,118.83,137.81,18.88,0
[034220],LG디스플레이,12,2015,126.75,98.31,43.94,56.06,78.39,1.66,8.61,2.21,1.17,-3.81,6.64,-0.57,0.0,0.0,0.0,17.97,0
[068870],LG생명과학,12,2015,157.99,85.3,63.29,36.71,172.41,11.94,12.96,1.23,0.46,8.49,3.69,8.44,16.1,101.4,254.02,11.9,1
[079550],LIG넥스원,12,2015,92.96,84.47,67.1,32.9,203.95,3.06,-4.54,4.44,1.23,7.85,61.14,43.72,0.0,0.0,-0.0,0.82,0
[000680],LS네트웍스,12,2015,97.88,42.93,58.77,41.23,142.53,0.81,-0.6,-4.11,-1.79,-6.93,-15.78,-24.65,0.0,0.0,-0.0,0.66,0
[159910],MBK,12,2015,55.02,50.97,54.31,45.69,118.84,24.86,-23.5,-15.26,-7.77,17.51,-5.87,513.98,7.06,244.61,-100.71,-34.16,1
[086960],MDS테크,12,2015,443.04,421.51,20.01,79.99,25.02,38.02,58.5,2.53,2.01,6.62,8.26,11.05,20.99,767.72,95.1,19.43,0
[023150],MH에탄올,12,2015,105.94,88.4,26.84,73.16,36.69,15.34,1.55,3.52,2.36,-7.7,9.64,17.58,15.37,237.9,-3223.04,63.22,0
[024940],PN풍년,12,2015,189.26,131.05,34.01,65.99,51.53,60.59,29.68,1.14,0.75,2.08,3.83,3.22,0.0,0.0,0.0,30.59,0
[091340],S&K폴리텍,12,2015,807.94,770.35,41.58,58.42,71.18,379.21,57.99,2.09,1.33,34.42,11.28,19.26,8.21,233.58,37.57,8.42,0
[010950],S-Oil,12,2015,176.54,126.93,50.1,49.9,100.39,6.2,22.87,3.05,1.49,5.23,9.74,427.15,42.53,222.84,535.33,45.82,0
[099220],SDN,12,2015,46.85,27.54,50.51,49.49,102.07,1.82,-24.29,0.0,0.0,-1.8,10.73,45.56,12.62,134.15,-164.81,6.56,0
[040610],SG&G,12,2015,66.45,55.24,20.46,79.54,25.73,14.83,-6.62,1.09,0.86,3.61,4.45,-22.1,0.0,0.0,-0.0,10.54,0
[049470],SGA,12,2015,400.67,389.47,28.05,71.95,38.99,63.85,43.44,-1.37,-0.86,4.79,39.48,-27.04,0.0,0.0,0.0,-22.41,0
[184230],SGA솔루션즈,12,2015,288.67,236.68,27.17,72.83,37.3,87.73,47.55,2.43,1.9,30.63,11.9,-30.96,8.72,97.15,42.53,-6.95,0
[001380],SG충남방적,12,2015,62.42,28.91,42.71,57.29,74.55,6.43,-12.82,-0.68,-0.4,-1.17,-3.73,-6.39,0.0,0.0,-0.0,5.98,1
[052300],SH 홀딩스,12,2015,155.8,155.76,24.06,75.94,31.68,129.68,13.29,2.43,1.95,61.53,40.3,-7.33,0.0,0.0,0.0,-15.92,1
[002360],SH에너지화학,12,2015,379.52,311.55,20.44,79.56,25.69,110.18,41.16,3.63,2.83,4.54,8.8,15.46,47.92,422.45,331.72,105.36,0
[009160],SIMPAC,12,2015,96.59,62.41,40.41,59.59,67.82,9.27,-1.32,0.0,0.0,12.15,7.94,6.82,15.25,131.97,-3223.04,7.03,0
[011790],SKC,12,2015,96.26,61.85,42.89,57.11,75.09,0.44,-0.57,0.0,0.0,2.45,18.54,18.11,15.52,271.98,-3223.04,15.31,0
[018670],SK가스,12,2015,122.05,93.1,50.33,49.67,101.33,12.51,6.22,0.0,0.0,7.97,1.99,-15.6,32.1,352.86,1372.83,3.29,0
[001740],SK네트웍스,12,2015,87.02,61.27,68.27,31.73,215.19,26.15,-6.59,0.81,0.25,-2.27,2.25,-11.74,53.8,530.49,-2469.72,1.83,0
[096770],SK이노베이션,12,2015,551.83,525.91,10.21,89.79,11.37,329.75,7.63,-0.01,-0.01,-0.24,0.03,9.18,2.88,623.55,124.57,40.46,0
[000660],SK하이닉스,12,2015,177.27,147.64,28.04,71.96,38.97,21.36,12.77,5.24,3.72,13.39,17.02,5.24,17.36,357.74,336.25,96.13,0
[036540],STS반도체,12,2015,148.95,134.07,65.08,34.92,186.4,82.84,7.54,-27.53,-9.48,-12.24,-10.0,-72.46,0.0,0.0,-0.0,1.29,1
[077970],STX엔진,12,2015,140.73,91.92,86.82,13.18,629.87,31.93,17.66,10.73,0.95,-6.08,-72.95,26.89,16.43,77.61,309.6,6.55,0
[071970],STX중공업,12,2015,98.28,74.57,88.54,11.46,629.87,14.0,-0.67,-2.48,-0.09,-4.49,-72.95,177.96,0.0,0.0,-0.0,0.36,0
[032540],TJ미디어,12,2015,714.95,456.64,12.07,87.93,13.73,106.0,35.58,0.7,0.63,4.25,2.25,36.32,18.31,125.04,137.78,2.34,0
[048770],TPC,12,2015,122.24,71.03,60.51,39.49,153.24,8.29,10.69,0.57,0.23,5.08,2.92,6.26,22.99,99.75,537.33,0.36,0
[024070],WISCOM,12,2015,818.41,742.8,8.97,91.03,9.86,66.3,50.34,0.47,0.43,-3.07,-1.3,-28.91,25.03,446.59,129.14,32.88,0
[057030],YBM시사닷컴,12,2015,170.1,131.42,32.26,67.74,47.62,59.58,20.38,0.85,0.59,1.94,-2.11,-12.55,0.0,0.0,0.0,17.09,1
[051390],YW,12,2015,286.43,282.76,23.82,76.18,31.26,58.26,22.8,-0.28,-0.22,2.54,-5.3,50.41,3.07,395.52,29.86,-21.52,0
[000660],가온전선,12,2015,181.81,142.97,46.55,53.45,87.08,23.48,24.63,0.14,0.08,0.78,-2.92,-5.88,36.7,299.16,377.82,16.3,0
[030270],가희,12,2015,46.41,21.46,59.42,40.58,146.41,7.95,-27.52,-17.43,-6.08,-16.75,11.92,-322.19,0.0,0.0,-0.0,0.17,1
[000860],강남제비스코,12,2015,493.89,417.53,14.86,85.14,17.46,157.18,46.98,0.0,0.0,4.67,7.37,1.98,18.97,197.67,108.5,49.52,0
[217730],강스템바이오텍,12,2015,637.19,625.9,14.99,85.01,17.64,211.66,63.77,-14.89,-8.92,156.2,-72.95,678.71,2.3,132.9,9.39,-101.45,0
[035250],강원랜드,12,2015,261.93,261.69,18.73,81.27,23.04,15.6,29.1,0.0,0.0,9.1,10.36,12.49,0.0,0.0,0.0,84.24,0
[011420],갤럭시아에스엠,12,2015,270.56,270.56,24.6,75.4,32.63,137.32,37.98,1.74,1.2,65.8,116.5,205.49,0.0,0.0,0.0,18.19,0
[039240],경남스틸,12,2015,153.02,93.62,46.82,53.18,88.02,0.86,24.64,2.75,1.44,6.68,9.69,5.72,0.0,0.0,0.0,-12.59,0
[053950],경남제약,12,2015,76.5,54.83,64.19,35.81,179.23,5.96,-14.05,3.68,1.11,-1.79,42.28,13.92,0.0,0.0,-0.0,15.9,0
[002100],경농,12,2015,147.27,35.24,34.72,65.28,53.19,8.91,13.42,0.95,0.65,14.83,2.4,-0.85,13.87,44.6,235.84,-10.26,0
[012320],경동도시가스,12,2015,155.88,155.56,40.79,59.21,68.89,23.7,17.79,-0.27,-0.15,-15.86,-2.19,-15.91,0.0,0.0,0.0,-8.6,0
[011040],경동제약,12,2015,516.3,393.53,10.71,89.29,11.99,107.65,29.38,1.74,1.51,2.6,7.52,-0.31,16.49,176.72,144.88,72.48,0
[214390],경보제약,12,2015,162.85,86.12,37.17,62.83,59.17,6.82,20.75,6.83,3.59,16.34,79.74,-2.51,0.0,0.0,0.0,5.83,0
[012610],경인양행,12,2015,138.3,61.98,32.1,67.9,47.27,7.34,11.45,0.01,0.01,2.41,-0.28,-27.56,16.17,73.0,330.53,-1.41,0
[009140],경인전자,12,2015,931.07,928.93,5.06,94.94,5.33,362.34,30.88,0.58,0.55,0.03,1.74,-19.55,0.0,0.0,0.0,21.3,0
[024910],경창산업,12,2015,57.45,38.84,77.22,22.78,339.07,2.24,-19.84,0.0,0.0,2.65,0.5,-13.7,28.16,322.41,-363.04,17.59,0
[012200],계양전기,12,2015,235.94,149.49,22.85,77.15,29.62,15.81,25.74,1.53,1.18,4.19,4.92,5.17,34.53,189.82,323.57,36.94,0
[002140],고려산업,12,2015,110.1,84.57,50.61,49.39,102.46,19.59,4.77,1.7,0.82,-1.72,4.26,2.02,30.93,222.03,1646.94,11.52,0
[010130],고려아연,12,2015,668.64,381.5,8.43,91.57,9.2,23.55,33.69,0.0,0.0,5.56,8.62,2.06,19.35,99.86,148.24,194.04,0
[002240],고려제강,12,2015,98.83,66.84,24.49,75.51,32.43,0.15,-0.22,0.46,0.34,-3.74,1.0,-6.07,9.23,140.21,-3223.04,18.54,0
[014570],고려제약,12,2015,553.36,417.63,16.08,83.92,19.16,44.06,55.96,0.0,0.0,-4.79,1.82,-1.05,0.0,0.0,0.0,64.43,0
[098460],고영,12,2015,614.05,552.74,16.61,83.39,19.91,94.56,65.3,4.62,3.85,12.9,12.86,10.04,0.0,0.0,0.0,57.0,0
[009290],광동제약,12,2015,207.43,141.49,33.03,66.97,49.33,17.98,23.47,2.57,1.77,18.44,11.46,11.24,0.0,0.0,0.0,14.07,0
[014200],광림,12,2015,105.95,66.32,44.72,55.28,80.89,33.25,2.21,2.2,1.18,-40.24,-37.27,5.34,0.0,0.0,0.0,-4.07,0
[017040],광명전기,12,2015,198.38,164.78,33.83,66.17,51.13,117.58,29.02,1.24,0.76,-10.08,5.53,-39.97,20.44,184.75,201.38,37.66,0
[017900],광전자,12,2015,744.8,658.43,13.75,86.25,15.95,64.0,50.38,-0.38,-0.33,-7.17,-7.7,427.12,0.0,0.0,0.0,52.06,0
[037710],광주신세계,12,2015,28.6,18.97,25.49,74.51,34.21,6.62,-20.27,0.0,0.0,1.03,9.53,3.01,7.82,1044.54,-119.57,31.0,0
[026910],광진실업,12,2015,242.87,92.86,32.67,67.33,48.53,36.1,30.52,-0.11,-0.07,-2.26,1.23,-25.97,0.0,0.0,0.0,25.75,0
[053270],구영테크,12,2015,104.08,87.09,57.12,42.88,133.2,14.53,1.57,1.85,0.78,1.2,4.42,7.69,21.32,296.3,-3223.04,15.97,0
[007690],국도화학,12,2015,200.11,151.72,30.37,69.63,43.62,14.22,25.66,0.0,0.0,8.79,13.1,82.9,32.47,250.19,324.56,28.71,0
[005320],국동,12,2015,95.3,57.41,66.19,33.81,195.78,2.26,-2.57,7.24,2.22,24.07,56.21,-11.35,0.0,0.0,0.0,3.03,0
[001140],국보,12,2015,50.18,49.38,78.65,21.35,368.4,0.4,-31.9,-4.83,-1.1,-8.49,-18.45,-1.29,0.0,0.0,-0.0,-1.1,0
[043650],국순당,12,2015,725.29,622.16,8.55,91.45,9.35,240.64,35.12,-0.65,-0.59,-1.1,-0.39,-24.72,9.16,158.3,69.52,-29.96,0
[006050],국영지앤엠,12,2015,222.09,211.5,23.14,76.86,30.1,99.18,24.09,-0.28,-0.22,8.0,3.67,-83.59,16.34,641.28,174.87,4.39,0
[078130],국일제지,12,2015,83.8,52.8,50.23,49.77,100.94,13.91,-7.56,9.01,3.37,-12.55,63.28,-9.84,9.58,50.4,-206.61,-20.56,0
[044180],국제디와이,12,2015,147.3,83.55,51.63,48.37,106.72,10.01,23.71,1.47,0.75,41.17,24.48,760.97,0.0,0.0,0.0,11.78,1
[002720],국제약품공업,12,2015,223.9,160.06,48.51,51.49,94.23,0.78,26.26,-2.59,-1.24,13.38,33.94,8.8,22.44,134.09,259.61,-7.17,1
[014530],극동유화,12,2015,208.33,160.85,27.85,72.15,38.6,27.52,27.34,3.0,2.03,-2.85,10.01,14.5,0.0,0.0,0.0,32.94,0
[014280],금강공업,12,2015,66.08,48.04,59.98,40.02,149.89,10.81,-18.19,1.37,0.54,0.91,4.31,-7.3,0.0,0.0,-0.0,1.57,0
[053260],금강철강,12,2015,425.26,377.67,19.65,80.35,24.45,114.93,58.09,1.55,1.24,2.71,4.34,1.28,0.0,0.0,0.0,25.09,0
[058370],금성테크,12,2015,109.24,101.8,43.84,56.16,78.07,2.56,4.02,-19.75,-11.93,60.78,34.36,340.67,16.5,363.72,454.54,-33.66,1
[001570],금양,12,2015,61.98,52.83,70.34,29.66,237.17,6.8,-24.89,1.25,0.39,8.5,0.48,20.72,0.0,0.0,-0.0,4.72,0
