유동비율,자기자본이익률,자기자본성장률,총자산회전율,매출총이익성장률,총자산이익률,label
104.1,2.29,9.57,0.0,47.87,0.99,0
809.29,6.63,30.17,23.21,19.01,5.61,1
134.06,0.0,29.25,53.8,11.81,0.0,0
67.05,2.9,10.38,18.95,5.53,1.22,0
52.81,1.31,5.68,41.51,-1.05,0.66,0
68.59,1.32,3.99,0.0,9.22,0.63,0
92.79,1.89,7.31,53.8,18.7,0.56,0
297.75,-1.9,-4.47,0.0,16.24,-1.59,0
42.9,-12.76,-39.43,17.75,-91.17,-2.96,0
181.41,0.54,191.37,16.67,41.58,0.28,0
121.72,0.0,4.92,0.0,14.86,0.0,0
127.27,2.17,8.53,23.64,-3.4,1.28,0
140.22,0.0,5.94,0.0,9.89,0.0,0
135.67,1.04,3.66,25.72,-2.93,0.77,0
150.36,1.54,5.06,0.0,17.1,0.9,0
292.62,5.17,5.76,0.0,-14.88,3.52,0
309.95,2.05,8.86,32.28,6.49,1.58,0
270.89,2.07,9.18,0.0,45.21,1.47,0
255.68,0.0,5.47,16.28,-2.15,0.0,0
541.61,2.46,30.55,12.52,-0.86,2.17,0
231.86,-13.86,-38.14,19.47,-84.09,-8.41,1
103.7,2.08,4.39,15.77,8.71,1.12,1
143.99,0.17,2.24,18.12,6.18,0.06,0
178.62,1.51,5.16,17.24,-10.31,1.18,0
154.73,-6.23,-22.59,24.65,-51.44,-2.17,0
226.26,3.23,9.49,0.0,22.7,2.44,0
116.49,-2.74,-7.5,29.68,-34.69,-0.99,0
127.52,-0.07,-0.77,0.0,-21.56,-0.03,0
84.28,3.94,14.27,0.0,-32.77,2.79,0
134.29,0.0,13.15,26.53,9.34,0.0,0
88.8,1.2,7.79,15.43,14.69,0.7,0
331.49,1.9,6.14,0.0,-29.65,1.46,0
376.82,1.04,2.04,0.0,3.67,0.96,0
111.82,-7.1,49.03,13.73,102.88,-2.74,0
38.83,2.92,15.07,6.89,24.52,1.11,0
560.49,1.37,3.98,26.19,-0.67,1.02,0
126.75,2.21,6.64,0.0,-0.57,1.17,0
157.99,1.23,3.69,16.1,8.44,0.46,1
92.96,4.44,61.14,0.0,43.72,1.23,0
97.88,-4.11,-15.78,0.0,-24.65,-1.79,0
55.02,-15.26,-5.87,7.06,513.98,-7.77,1
443.04,2.53,8.26,20.99,11.05,2.01,0
105.94,3.52,9.64,15.37,17.58,2.36,0
189.26,1.14,3.83,0.0,3.22,0.75,0
807.94,2.09,11.28,8.21,19.26,1.33,0
176.54,3.05,9.74,42.53,427.15,1.49,0
46.85,0.0,10.73,12.62,45.56,0.0,0
66.45,1.09,4.45,0.0,-22.1,0.86,0
400.67,-1.37,39.48,0.0,-27.04,-0.86,0
288.67,2.43,11.9,8.72,-30.96,1.9,0
62.42,-0.68,-3.73,0.0,-6.39,-0.4,1
155.8,2.43,40.3,0.0,-7.33,1.95,1
379.52,3.63,8.8,47.92,15.46,2.83,0
96.59,0.0,7.94,15.25,6.82,0.0,0
96.26,0.0,18.54,15.52,18.11,0.0,0
122.05,0.0,1.99,32.1,-15.6,0.0,0
87.02,0.81,2.25,53.8,-11.74,0.25,0
551.83,-0.01,0.03,2.88,9.18,-0.01,0
177.27,5.24,17.02,17.36,5.24,3.72,0
148.95,-27.53,-10.0,0.0,-72.46,-9.48,1
140.73,10.73,-72.95,16.43,26.89,0.95,0
98.28,-2.48,-72.95,0.0,177.96,-0.09,0
714.95,0.7,2.25,18.31,36.32,0.63,0
122.24,0.57,2.92,22.99,6.26,0.23,0
818.41,0.47,-1.3,25.03,-28.91,0.43,0
170.1,0.85,-2.11,0.0,-12.55,0.59,1
286.43,-0.28,-5.3,3.07,50.41,-0.22,0
181.81,0.14,-2.92,36.7,-5.88,0.08,0
